"inicio_del_intervalo","fin_del_intervalo","intervalo_completo","tipo_de_medios","abandono_no_rapido","abandono_rapido","cumplen_el_sla","contestadas","porcentaje_de_contestadas","abandonadas","porcentaje_de_abandono","velocidad_media_de_respuesta","porcentaje_nivel_de_servicio","porcentaje_del_objetivo_del_nivel_de_servicio","espera_media","manejo_medio","conversacion_media","tiempo_medio_de_trabajo_despues_de_llamada","created_at"
"1/7/2025 00:00","1/7/2025 00:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 00:30","1/7/2025 01:00",VERDADERO,voz,0.0,0.0,6.0,6.0,1.0,0.0,0.0,"00:00:00.500",1.0,0.0,"00:00:00.500","00:01:32.155","00:01:32.155","",2025-10-03 13:13:01.000
"1/7/2025 01:00","1/7/2025 01:30",VERDADERO,voz,0.0,0.0,2.0,2.0,1.0,0.0,0.0,"00:00:00.335",1.0,0.0,"00:00:00.335","00:04:01.272","00:04:01.272","",2025-10-03 13:13:01.000
"1/7/2025 01:30","1/7/2025 02:00",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 02:00","1/7/2025 02:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 02:30","1/7/2025 03:00",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 03:00","1/7/2025 03:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 03:30","1/7/2025 04:00",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 04:00","1/7/2025 04:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 04:30","1/7/2025 05:00",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 05:00","1/7/2025 05:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-03 13:13:01.000
"1/7/2025 05:30","1/7/2025 06:00",VERDADERO,voz,0.0,0.0,1.0,1.0,1.0,0.0,0.0,"00:00:00.571",1.0,0.0,"00:00:00.571","00:04:37.291","00:04:37.291","",2025-10-03 13:13:01.000
"1/7/2025 06:00","1/7/2025 06:30",VERDADERO,voz,1.0,0.0,2.0,2.0,0.4,1.0,0.2,"00:00:00.459",0.666666667,0.0,"00:00:20.278","00:04:37.906","00:04:37.906","",2025-10-03 13:13:01.000
"1/7/2025 06:30","1/7/2025 07:00",VERDADERO,voz,1.0,0.0,5.0,7.0,1.166666667,1.0,0.166666667,"00:01:04.748",0.625,0.0,"00:01:13.162","00:04:08.514","00:04:00.407","",2025-10-03 13:13:01.000
"1/7/2025 07:00","1/7/2025 07:30",VERDADERO,voz,0.0,0.0,11.0,12.0,1.0,0.0,0.0,"00:00:03.896",0.916666667,0.0,"00:00:03.896","00:02:54.536","00:02:53.497","",2025-10-03 13:13:01.000
"1/7/2025 07:30","1/7/2025 08:00",VERDADERO,voz,0.0,0.0,15.0,18.0,0.9,0.0,0.0,"00:00:08.728",0.833333333,0.0,"00:00:08.728","00:05:45.456","00:05:01.341","",2025-10-03 13:13:01.000
"1/7/2025 08:00","1/7/2025 08:30",VERDADERO,voz,1.0,0.0,38.0,60.0,1.016949153,1.0,0.016949153,"00:00:21.769",0.62295082,0.0,"00:00:22.544","00:05:39.732","00:04:34.220","",2025-10-03 13:13:01.000
"1/7/2025 08:30","1/7/2025 09:00",VERDADERO,voz,0.0,0.0,62.0,71.0,0.959459459,0.0,0.0,"00:00:05.967",0.873239437,0.0,"00:00:05.967","00:04:40.118","00:04:07.142","",2025-10-03 13:13:01.000
"1/7/2025 09:00","1/7/2025 09:30",VERDADERO,voz,0.0,0.0,81.0,87.0,1.035714286,0.0,0.0,"00:00:04.431",0.931034483,0.0,"00:00:04.431","00:04:12.915","00:03:38.104","",2025-10-03 13:13:01.000
"15/10/2025 04:00","15/10/2025 04:30",VERDADERO,voz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,"","","","",2025-10-17 11:11:36.000
"1/7/2025 09:30","1/7/2025 10:00",VERDADERO,voz,0.0,1.0,77.0,88.0,0.967032967,1.0,0.010989011,"00:00:07.572",0.865168539,0.0,"00:00:07.516","00:04:13.061","00:03:45.432","",2025-10-03 13:13:01.000
"1/7/2025 10:00","1/7/2025 10:30",VERDADERO,voz,1.0,0.0,57.0,94.0,1.0,1.0,0.010638298,"00:00:16.279",0.6,0.0,"00:00:16.298","00:04:32.769","00:03:56.420","",2025-10-03 13:13:01.000
"1/7/2025 10:30","1/7/2025 11:00",VERDADERO,voz,6.0,3.0,38.0,99.0,0.860869565,9.0,0.07826087,"00:00:48.943",0.351851852,0.0,"00:00:48.631","00:05:02.214","00:04:22.515","00:00:03.198",2025-10-03 13:13:01.000
"1/7/2025 11:00","1/7/2025 11:30",VERDADERO,voz,5.0,0.0,59.0,114.0,0.991304348,5.0,0.043478261,"00:00:36.695",0.495798319,0.0,"00:00:36.701","00:04:21.528","00:03:52.233","",2025-10-03 13:13:01.000
